Date,SalesCount
2024-01-01,12
2024-01-02,5
2024-01-03,8
2024-01-04,3
2024-01-05,10
2024-01-06,6
2024-01-07,9
2024-01-08,4
2024-01-09,0
2024-01-10,7
2024-01-11,2
2024-01-12,12
2024-01-13,5
2024-01-14,8
2024-01-15,3
2024-01-16,10
2024-01-17,6
2024-01-18,0
2024-01-19,4
2024-01-20,11
2024-01-21,7
2024-01-22,2
2024-01-23,12
2024-01-24,5
2024-01-25,8
2024-01-26,3
2024-01-27,10
2024-01-28,6
2024-01-29,9
2024-01-30,4
2024-01-31,11
2024-02-01,7
2024-02-02,2
2024-02-03,12
2024-02-04,5
2024-02-05,8
2024-02-06,3
2024-02-07,10
2024-02-08,0
2024-02-09,0
2024-02-10,0
2024-02-11,11
2024-02-12,7
2024-02-13,2
2024-02-14,12
2024-02-15,5
2024-02-16,8
2024-02-17,3
2024-02-18,10
2024-02-19,6
2024-02-20,9
2024-02-21,4
2024-02-22,11
2024-02-23,7
2024-02-24,0
2024-02-25,12
2024-02-26,5
2024-02-27,8
2024-02-28,3
2024-02-29,10
2024-03-01,6
2024-03-02,9
2024-03-03,4
2024-03-04,11
2024-03-05,7
2024-03-06,2
2024-03-07,12
2024-03-08,5
2024-03-09,8
2024-03-10,3
2024-03-11,10
2024-03-12,6
2024-03-13,9
2024-03-14,4
2024-03-15,11
2024-03-16,7
2024-03-17,2
2024-03-18,12
2024-03-19,5
2024-03-20,8
2024-03-21,3
2024-03-22,10
2024-03-23,6
2024-03-24,9
2024-03-25,4
2024-03-26,11
2024-03-27,7
2024-03-28,2
2024-03-29,12
2024-03-30,5
2024-03-31,8
2024-04-01,3
2024-04-02,10
2024-04-03,6
2024-04-04,9
2024-04-05,4
2024-04-06,11
2024-04-07,7
2024-04-08,2
2024-04-09,12
2024-04-10,5
2024-04-11,8
2024-04-12,3
2024-04-13,10
2024-04-14,6
2024-04-15,9
2024-04-16,4
2024-04-17,11
2024-04-18,7
2024-04-19,2
2024-04-20,12
2024-04-21,5
2024-04-22,8
2024-04-23,3
2024-04-24,10
2024-04-25,6
2024-04-26,9
2024-04-27,4
2024-04-28,11
2024-04-29,7
2024-04-30,2
2024-05-01,12
2024-05-02,5
2024-05-03,8
2024-05-04,3
2024-05-05,10
2024-05-06,6
2024-05-07,9
2024-05-08,4
2024-05-09,11
2024-05-10,7
2024-05-11,2
2024-05-12,12
2024-05-13,5
2024-05-14,8
2024-05-15,3
2024-05-16,10
2024-05-17,6
2024-05-18,9
2024-05-19,4
2024-05-20,11
2024-05-21,7
2024-05-22,2
2024-05-23,12
2024-05-24,5
2024-05-25,8
2024-05-26,3
2024-05-27,10
2024-05-28,6
2024-05-29,9
2024-05-30,4
2024-05-31,11
